epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.113,1.04842,1.111,0.91837,0.95848,0.7448,0.87392,0.67176,0.72326,0.5852,0.79652,0.00066335,0.00066335,0.00066335
2,49.609,0.76336,0.59737,0.85089,0.88324,0.84495,0.90747,0.70504,0.67167,0.48352,0.78426,0.00126418,0.00126418,0.00126418
3,60.1892,0.69865,0.52434,0.83717,0.91785,0.86412,0.94237,0.75984,0.57678,0.45029,0.76388,0.00179901,0.00179901,0.00179901
4,70.8296,0.65446,0.47559,0.83044,0.94027,0.89086,0.95276,0.77476,0.58348,0.41118,0.76569,0.001703,0.001703,0.001703
5,81.3454,0.63126,0.44593,0.82774,0.96755,0.91132,0.9638,0.7999,0.591,0.40483,0.76193,0.001604,0.001604,0.001604
6,91.686,0.60535,0.42075,0.82275,0.97082,0.92633,0.96643,0.8265,0.51244,0.39169,0.76084,0.001505,0.001505,0.001505
7,101.884,0.57617,0.39649,0.81937,0.9685,0.94086,0.97131,0.84262,0.48346,0.35674,0.75122,0.001406,0.001406,0.001406
8,112.277,0.55851,0.38109,0.81598,0.93926,0.91511,0.96086,0.83227,0.4631,0.35108,0.75542,0.001307,0.001307,0.001307
9,122.425,0.54546,0.37272,0.81246,0.94222,0.94709,0.96945,0.84509,0.47315,0.35169,0.74737,0.001208,0.001208,0.001208
10,132.803,0.53705,0.36429,0.8136,0.94451,0.91324,0.96755,0.84965,0.46927,0.35633,0.74961,0.001109,0.001109,0.001109
11,143.766,0.5078,0.35108,0.80451,0.9604,0.91298,0.96927,0.84483,0.47132,0.35721,0.75079,0.00101,0.00101,0.00101
12,153.936,0.49503,0.34243,0.80097,0.93763,0.94524,0.97069,0.8574,0.44931,0.35475,0.74398,0.000911,0.000911,0.000911
13,163.998,0.48124,0.33071,0.79945,0.94539,0.9319,0.9712,0.85922,0.46322,0.34842,0.74565,0.000812,0.000812,0.000812
14,174.402,0.46743,0.32332,0.7968,0.98219,0.94553,0.97576,0.86936,0.4335,0.34899,0.74003,0.000713,0.000713,0.000713
15,184.49,0.45773,0.31446,0.79364,0.98695,0.95667,0.97881,0.87016,0.44449,0.32845,0.74014,0.000614,0.000614,0.000614
16,194.432,0.44083,0.30399,0.79505,0.98068,0.95441,0.97885,0.8802,0.40943,0.31753,0.73849,0.000515,0.000515,0.000515
17,204.519,0.43758,0.29833,0.79231,0.98497,0.95594,0.97927,0.88392,0.41779,0.31368,0.73629,0.000416,0.000416,0.000416
18,214.531,0.42864,0.29179,0.79163,0.98498,0.95525,0.98115,0.88102,0.40625,0.31774,0.73681,0.000317,0.000317,0.000317
19,224.414,0.41794,0.28383,0.79063,0.9875,0.95667,0.98156,0.88223,0.3988,0.31548,0.7389,0.000218,0.000218,0.000218
20,234.355,0.40622,0.27894,0.79165,0.98263,0.95943,0.9815,0.88709,0.39053,0.30491,0.73457,0.000119,0.000119,0.000119
