epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3618,1.04331,1.10781,0.91908,0.90738,0.90795,0.93578,0.7208,0.70324,0.57846,0.79286,0.00066335,0.00066335,0.00066335
2,78.7357,0.76867,0.59502,0.85062,0.96487,0.76949,0.91131,0.72162,0.67605,0.51275,0.78415,0.00126418,0.00126418,0.00126418
3,90.0993,0.72095,0.53827,0.84207,0.86045,0.93348,0.94423,0.75673,0.67038,0.47318,0.77413,0.00179901,0.00179901,0.00179901
4,101.148,0.6775,0.48788,0.83464,0.93639,0.91118,0.95767,0.77757,0.60426,0.40991,0.76427,0.001703,0.001703,0.001703
5,112.189,0.63175,0.44426,0.82672,0.94193,0.9186,0.96193,0.804,0.57136,0.40387,0.75887,0.001604,0.001604,0.001604
6,123.226,0.60266,0.42017,0.82454,0.9629,0.918,0.96649,0.81518,0.51167,0.3853,0.75339,0.001505,0.001505,0.001505
7,134.378,0.57849,0.40297,0.81824,0.94986,0.94035,0.96953,0.80773,0.5317,0.35893,0.75123,0.001406,0.001406,0.001406
8,145.288,0.56484,0.39207,0.81854,0.97682,0.94009,0.97377,0.81995,0.51521,0.369,0.74569,0.001307,0.001307,0.001307
9,156.344,0.54693,0.37793,0.81604,0.97029,0.92697,0.97185,0.83019,0.52178,0.34093,0.7448,0.001208,0.001208,0.001208
10,167.82,0.5305,0.36279,0.81211,0.96411,0.95188,0.97818,0.84497,0.48509,0.33976,0.74098,0.001109,0.001109,0.001109
11,179.664,0.50733,0.3537,0.80259,0.97778,0.93737,0.972,0.81282,0.54402,0.35536,0.74817,0.00101,0.00101,0.00101
12,190.522,0.491,0.34625,0.80246,0.97102,0.9495,0.97421,0.8392,0.50559,0.36577,0.74144,0.000911,0.000911,0.000911
13,201.384,0.47959,0.33414,0.79847,0.98202,0.93914,0.9749,0.83397,0.52679,0.34825,0.74664,0.000812,0.000812,0.000812
14,212.294,0.46418,0.32592,0.79713,0.97534,0.94766,0.97583,0.85412,0.46086,0.33566,0.74187,0.000713,0.000713,0.000713
15,223.457,0.45263,0.31363,0.79603,0.96246,0.95563,0.97453,0.84695,0.48447,0.3388,0.73849,0.000614,0.000614,0.000614
16,234.41,0.44325,0.30556,0.79383,0.9688,0.95656,0.97625,0.85238,0.4747,0.3314,0.73946,0.000515,0.000515,0.000515
17,245.474,0.43548,0.30105,0.79443,0.97439,0.95498,0.97734,0.85898,0.44801,0.30252,0.73621,0.000416,0.000416,0.000416
18,256.319,0.41935,0.29173,0.79336,0.97646,0.95449,0.97627,0.86634,0.44507,0.29914,0.73556,0.000317,0.000317,0.000317
19,267.133,0.41262,0.28577,0.78977,0.97245,0.95321,0.9758,0.86817,0.46173,0.31883,0.73925,0.000218,0.000218,0.000218
20,277.876,0.4011,0.27791,0.78871,0.97584,0.95261,0.97605,0.88098,0.42568,0.29585,0.73739,0.000119,0.000119,0.000119
