epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3906,1.04954,1.11146,0.91859,0.89006,0.83465,0.89283,0.68568,0.74807,0.60492,0.80054,0.00066335,0.00066335,0.00066335
2,71.865,0.77767,0.59997,0.84959,0.83273,0.91992,0.93077,0.71207,0.67921,0.51985,0.78758,0.00126418,0.00126418,0.00126418
3,83.059,0.71209,0.53113,0.83987,0.92528,0.89896,0.95243,0.77802,0.63571,0.4727,0.7793,0.00179901,0.00179901,0.00179901
4,94.8126,0.66015,0.4774,0.83109,0.9289,0.90897,0.95434,0.80183,0.57904,0.44821,0.77802,0.001703,0.001703,0.001703
5,105.932,0.6355,0.44506,0.82588,0.92663,0.92414,0.96379,0.83782,0.51178,0.40686,0.7715,0.001604,0.001604,0.001604
6,116.946,0.59684,0.41528,0.82173,0.90398,0.92472,0.96551,0.83489,0.4987,0.38856,0.76828,0.001505,0.001505,0.001505
7,127.874,0.57882,0.39901,0.81708,0.91246,0.93547,0.96603,0.83394,0.51153,0.38751,0.76834,0.001406,0.001406,0.001406
8,138.928,0.56767,0.3888,0.81672,0.90945,0.9276,0.96568,0.80999,0.54658,0.39893,0.76227,0.001307,0.001307,0.001307
9,149.918,0.54406,0.37441,0.81273,0.96657,0.94872,0.97884,0.83817,0.51408,0.39335,0.75919,0.001208,0.001208,0.001208
10,160.889,0.53125,0.36219,0.81078,0.94766,0.94277,0.97543,0.84456,0.47578,0.37026,0.75049,0.001109,0.001109,0.001109
11,172.237,0.50774,0.3596,0.80221,0.9082,0.94995,0.96541,0.83899,0.51584,0.38194,0.75596,0.00101,0.00101,0.00101
12,182.95,0.49554,0.34617,0.80228,0.94575,0.85708,0.96065,0.82258,0.48518,0.37405,0.75469,0.000911,0.000911,0.000911
13,193.512,0.4821,0.33379,0.79837,0.9913,0.85294,0.96344,0.84487,0.47621,0.35799,0.75237,0.000812,0.000812,0.000812
14,204.004,0.46419,0.32595,0.79683,0.92013,0.90897,0.96355,0.83583,0.48498,0.37004,0.75781,0.000713,0.000713,0.000713
15,214.635,0.45684,0.3171,0.79609,0.91037,0.88369,0.95951,0.83798,0.48278,0.34577,0.75113,0.000614,0.000614,0.000614
16,225.22,0.44777,0.30828,0.79315,0.89139,0.93148,0.9648,0.85273,0.45038,0.33837,0.75303,0.000515,0.000515,0.000515
17,236.189,0.43981,0.30348,0.79375,0.99283,0.85111,0.96017,0.84569,0.47576,0.33333,0.75562,0.000416,0.000416,0.000416
18,246.817,0.42501,0.2944,0.79317,0.95493,0.91551,0.97648,0.86395,0.42498,0.32196,0.74952,0.000317,0.000317,0.000317
19,257.845,0.41547,0.28735,0.78967,0.9153,0.94012,0.97132,0.85984,0.44686,0.32036,0.75443,0.000218,0.000218,0.000218
20,268.817,0.40231,0.2809,0.78889,0.9721,0.93674,0.98096,0.87549,0.42827,0.31066,0.75245,0.000119,0.000119,0.000119
