epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6989,1.04706,1.10437,0.91624,0.96013,0.72357,0.89943,0.68232,0.7239,0.59441,0.79297,0.00066335,0.00066335,0.00066335
2,46.3844,0.76457,0.59529,0.85014,0.94329,0.81367,0.87864,0.723,0.60726,0.48721,0.78018,0.00126418,0.00126418,0.00126418
3,56.647,0.70888,0.52324,0.83732,0.89373,0.89366,0.94048,0.77955,0.57229,0.44345,0.77076,0.00179901,0.00179901,0.00179901
4,67.109,0.65678,0.47936,0.83062,0.90294,0.90849,0.94482,0.79217,0.54926,0.45219,0.76943,0.001703,0.001703,0.001703
5,77.1584,0.63011,0.44573,0.82663,0.91852,0.91077,0.95212,0.81793,0.51473,0.40369,0.76362,0.001604,0.001604,0.001604
6,87.3995,0.60727,0.41844,0.82293,0.90775,0.90144,0.95369,0.82148,0.52033,0.40268,0.76474,0.001505,0.001505,0.001505
7,97.6178,0.59025,0.40379,0.82038,0.96366,0.91818,0.96594,0.81431,0.4997,0.36556,0.75985,0.001406,0.001406,0.001406
8,107.803,0.56687,0.38482,0.81634,0.92963,0.91279,0.96435,0.8382,0.46625,0.37427,0.75783,0.001307,0.001307,0.001307
9,118.061,0.53554,0.3667,0.81162,0.97093,0.90748,0.96939,0.84782,0.46371,0.37433,0.75675,0.001208,0.001208,0.001208
10,128.327,0.53832,0.36717,0.81496,0.98869,0.90986,0.97085,0.85727,0.46803,0.35944,0.7532,0.001109,0.001109,0.001109
11,139.182,0.51883,0.35838,0.80525,0.93922,0.90088,0.96299,0.81361,0.50356,0.38236,0.75535,0.00101,0.00101,0.00101
12,149.051,0.49879,0.34504,0.80275,0.9765,0.92884,0.9713,0.83541,0.47243,0.35021,0.74919,0.000911,0.000911,0.000911
13,159.012,0.47934,0.33088,0.79877,0.96164,0.92598,0.9701,0.83414,0.47015,0.35899,0.7467,0.000812,0.000812,0.000812
14,168.942,0.46943,0.32103,0.79679,0.94469,0.92964,0.97188,0.86102,0.43469,0.34118,0.74044,0.000713,0.000713,0.000713
15,178.797,0.46041,0.3159,0.7954,0.98206,0.94287,0.97652,0.8426,0.48272,0.34872,0.74546,0.000614,0.000614,0.000614
16,188.71,0.45207,0.30926,0.79501,0.97748,0.93852,0.97587,0.86315,0.43053,0.32681,0.74127,0.000515,0.000515,0.000515
17,198.6,0.4352,0.29991,0.79198,0.9699,0.94247,0.97827,0.86641,0.43686,0.32456,0.74266,0.000416,0.000416,0.000416
18,208.51,0.42804,0.29583,0.79058,0.97602,0.94595,0.97668,0.86197,0.42172,0.30253,0.73717,0.000317,0.000317,0.000317
19,218.311,0.42347,0.28831,0.792,0.98627,0.94027,0.97738,0.8761,0.39187,0.29604,0.73613,0.000218,0.000218,0.000218
20,228.195,0.40715,0.28131,0.78958,0.98756,0.94503,0.9775,0.87608,0.40694,0.30655,0.73826,0.000119,0.000119,0.000119
