epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.546,1.0482,1.10954,0.9202,0.89909,0.88047,0.91583,0.69275,0.66744,0.56482,0.788,0.00066335,0.00066335,0.00066335
2,46.0976,0.75764,0.58983,0.85051,0.85846,0.83876,0.91586,0.70608,0.68757,0.47653,0.79502,0.00126418,0.00126418,0.00126418
3,56.7175,0.70045,0.52134,0.836,0.93406,0.91414,0.94343,0.75592,0.57422,0.43804,0.77255,0.00179901,0.00179901,0.00179901
4,67.3403,0.65506,0.47486,0.8303,0.95152,0.90306,0.95709,0.79089,0.53971,0.41515,0.76749,0.001703,0.001703,0.001703
5,77.6926,0.63275,0.44269,0.82692,0.9559,0.87976,0.95483,0.79025,0.54181,0.38854,0.75862,0.001604,0.001604,0.001604
6,88.1196,0.60379,0.41618,0.82349,0.92191,0.86233,0.94736,0.79406,0.51837,0.37832,0.75808,0.001505,0.001505,0.001505
7,98.4608,0.57769,0.39705,0.81924,0.91904,0.94108,0.96349,0.82999,0.48257,0.37122,0.75355,0.001406,0.001406,0.001406
8,108.527,0.56761,0.38452,0.81629,0.94186,0.92742,0.96724,0.85718,0.43009,0.35705,0.75222,0.001307,0.001307,0.001307
9,118.8,0.54251,0.37069,0.81217,0.98266,0.92232,0.97094,0.85111,0.42895,0.34407,0.75228,0.001208,0.001208,0.001208
10,128.951,0.5373,0.3637,0.81306,0.97522,0.9336,0.9736,0.84292,0.45616,0.34359,0.74852,0.001109,0.001109,0.001109
11,139.892,0.52073,0.35872,0.80695,0.96749,0.94108,0.97276,0.84998,0.46177,0.35137,0.74556,0.00101,0.00101,0.00101
12,150.026,0.50004,0.34431,0.80125,0.93333,0.92436,0.9677,0.85061,0.42348,0.35264,0.74581,0.000911,0.000911,0.000911
13,160.032,0.48716,0.33463,0.79958,0.98121,0.9407,0.97455,0.86388,0.43406,0.32707,0.74391,0.000812,0.000812,0.000812
14,170.283,0.47655,0.32594,0.79741,0.93505,0.94795,0.96689,0.84404,0.44835,0.35102,0.74432,0.000713,0.000713,0.000713
15,180.287,0.46524,0.31739,0.79506,0.96473,0.93996,0.97417,0.86274,0.43943,0.34868,0.75018,0.000614,0.000614,0.000614
16,190.192,0.44526,0.30684,0.79508,0.98124,0.9422,0.97528,0.86513,0.41964,0.32536,0.74046,0.000515,0.000515,0.000515
17,200.273,0.4376,0.29996,0.79263,0.94925,0.95162,0.97619,0.86598,0.41103,0.31933,0.74231,0.000416,0.000416,0.000416
18,210.326,0.42892,0.29149,0.79146,0.94321,0.95548,0.97424,0.86163,0.41137,0.31407,0.74009,0.000317,0.000317,0.000317
19,220.303,0.41864,0.28389,0.79013,0.94556,0.95192,0.9744,0.8696,0.40308,0.30921,0.74037,0.000218,0.000218,0.000218
20,230.336,0.40771,0.27975,0.79169,0.95928,0.95118,0.9778,0.87791,0.38828,0.30448,0.74052,0.000119,0.000119,0.000119
