epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0128,1.03146,1.09349,0.91575,0.9539,0.77621,0.85652,0.62719,0.82401,0.62141,0.81214,0.00066335,0.00066335,0.00066335
2,63.6583,0.7621,0.59338,0.84883,0.86111,0.91513,0.92362,0.71652,0.64784,0.51842,0.77853,0.00126418,0.00126418,0.00126418
3,75.177,0.70666,0.52512,0.83907,0.95925,0.89437,0.94784,0.74171,0.69241,0.49597,0.77217,0.00179901,0.00179901,0.00179901
4,86.7472,0.6619,0.4769,0.83366,0.87941,0.93103,0.93596,0.77724,0.55016,0.4247,0.76627,0.001703,0.001703,0.001703
5,97.9535,0.63009,0.44452,0.82636,0.88673,0.8768,0.93554,0.77624,0.56998,0.41114,0.76559,0.001604,0.001604,0.001604
6,109.514,0.60579,0.41806,0.8234,0.87831,0.92145,0.95149,0.80785,0.50051,0.38376,0.75926,0.001505,0.001505,0.001505
7,120.923,0.57013,0.39241,0.81736,0.89356,0.92624,0.9504,0.80604,0.51084,0.38553,0.76003,0.001406,0.001406,0.001406
8,131.973,0.56053,0.38733,0.81744,0.83722,0.92606,0.94234,0.82098,0.47149,0.3881,0.75326,0.001307,0.001307,0.001307
9,143.2,0.54622,0.3705,0.81609,0.96872,0.83446,0.95629,0.83026,0.50764,0.3833,0.75265,0.001208,0.001208,0.001208
10,154.494,0.52827,0.36011,0.81173,0.93502,0.92861,0.96391,0.84687,0.45471,0.34324,0.74424,0.001109,0.001109,0.001109
11,165.97,0.50798,0.35372,0.80435,0.96812,0.92661,0.96637,0.83793,0.49579,0.37312,0.75222,0.00101,0.00101,0.00101
12,177.033,0.49191,0.33996,0.7993,0.92088,0.92631,0.96319,0.83428,0.46742,0.34539,0.74064,0.000911,0.000911,0.000911
13,187.963,0.47434,0.32644,0.7974,0.94273,0.91805,0.96824,0.84633,0.44679,0.33698,0.74554,0.000812,0.000812,0.000812
14,198.827,0.47113,0.3202,0.79826,0.90438,0.93363,0.96403,0.84948,0.4415,0.33344,0.74314,0.000713,0.000713,0.000713
15,209.749,0.44533,0.30956,0.79331,0.97023,0.93766,0.96943,0.84257,0.45521,0.33902,0.74127,0.000614,0.000614,0.000614
16,220.753,0.44175,0.30449,0.79207,0.96392,0.94392,0.97107,0.85868,0.42739,0.32575,0.74035,0.000515,0.000515,0.000515
17,231.697,0.42906,0.29552,0.79283,0.94519,0.91388,0.96611,0.85539,0.41387,0.31783,0.73898,0.000416,0.000416,0.000416
18,242.556,0.42276,0.29016,0.79059,0.94271,0.92388,0.96581,0.85363,0.43487,0.31907,0.74716,0.000317,0.000317,0.000317
19,253.533,0.41527,0.28401,0.78937,0.91333,0.94263,0.96407,0.86717,0.408,0.31389,0.74123,0.000218,0.000218,0.000218
20,264.507,0.40657,0.27915,0.79044,0.96563,0.91593,0.96931,0.86586,0.39825,0.31246,0.74351,0.000119,0.000119,0.000119
